"active_index","reverse_scale","network_id","type","id","p1","p2","p3","p4","p5","initialized","changed","changed_row"
2,FALSE,16,"suggestion_trial",91,-600,-600,358.837240473482,600,600,358.837240473482,-5.10051005100511,"p3"
3,FALSE,16,"suggestion_trial",95,-600,-600,-5.10051005100511,201.301673893606,600,201.301673893606,15.1815181518152,"p4"
4,FALSE,16,"suggestion_trial",103,-600,-600,-5.10051005100511,15.1815181518152,-565.821752870039,-565.821752870039,10.1216417463635,"p5"
0,FALSE,16,"suggestion_trial",110,10.1216417463635,-600,-5.10051005100511,15.1815181518152,600,600,-600,"p1"
1,FALSE,16,"suggestion_trial",114,-600,290.527335907693,-5.10051005100511,15.1815181518152,600,290.527335907693,-600,"p2"
2,FALSE,16,"suggestion_trial",118,-600,-600,-278.452419214172,15.1815181518152,600,-278.452419214172,0,"p3"
2,FALSE,18,"criticsm_trial",96,-463.951820743664,367.839304741784,-546.377861015043,-79.3265240401486,319.322153374697,-546.377861015043,-428.622862286229,"p3"
3,FALSE,18,"criticsm_trial",117,-463.951820743664,367.839304741784,-428.622862286229,536.238401716512,319.322153374697,536.238401716512,378.097809780978,"p4"
4,FALSE,18,"criticsm_trial",121,-463.951820743664,367.839304741784,-428.622862286229,378.097809780978,267.237371764936,267.237371764936,-473.606514063971,"p5"
0,FALSE,18,"criticsm_trial",133,-473.606514063971,367.839304741784,-428.622862286229,378.097809780978,-75.6675667566757,-75.6675667566757,15.1815181518152,"p1"
1,FALSE,18,"criticsm_trial",139,15.1815181518152,-266.554308725457,-428.622862286229,378.097809780978,-75.6675667566757,-266.554308725457,418.541854185419,"p2"
2,FALSE,18,"criticsm_trial",147,15.1815181518152,418.541854185419,533.330009039307,378.097809780978,-75.6675667566757,533.330009039307,-105.910591059106,"p3"
3,FALSE,18,"criticsm_trial",158,15.1815181518152,418.541854185419,-105.910591059106,559.580330191538,-75.6675667566757,559.580330191538,0,"p4"
3,FALSE,20,"criticsm_trial",113,46.8786938920579,220.091667573413,-151.509555507833,-460.108605777431,180.269828093824,-460.108605777431,105.910591059106,"p4"
4,FALSE,20,"criticsm_trial",120,46.8786938920579,220.091667573413,-151.509555507833,105.910591059106,104.92858161105,104.92858161105,-524.808845329648,"p5"
0,FALSE,20,"criticsm_trial",125,-524.808845329648,220.091667573413,-151.509555507833,105.910591059106,206.720672067207,206.720672067207,226.882688268827,"p1"
1,FALSE,20,"criticsm_trial",136,226.882688268827,-324.682627092148,-151.509555507833,105.910591059106,206.720672067207,-324.682627092148,-357.935793579358,"p2"
2,FALSE,20,"criticsm_trial",142,226.882688268827,-357.935793579358,490.04025922033,105.910591059106,206.720672067207,490.04025922033,-136.153615361536,"p3"
3,FALSE,20,"criticsm_trial",153,226.882688268827,-357.935793579358,-136.153615361536,158.983635672855,206.720672067207,158.983635672855,0,"p4"
0,FALSE,21,"criticsm_trial",122,434.337455953136,-2.81491409106673,2.43729003061662,-125.389829279703,481.250416165685,434.337455953136,600,"p1"
1,FALSE,21,"criticsm_trial",128,600,378.74759058992,2.43729003061662,-125.389829279703,481.250416165685,378.74759058992,600,"p2"
2,FALSE,21,"criticsm_trial",137,600,600,-342.194399494646,-125.389829279703,481.250416165685,-342.194399494646,-600,"p3"
3,FALSE,21,"criticsm_trial",141,600,600,-600,-504.068674093357,481.250416165685,-504.068674093357,600,"p4"
4,FALSE,21,"criticsm_trial",146,600,600,-600,600,45.7954964934189,45.7954964934189,-136.042894650545,"p5"
0,FALSE,21,"criticsm_trial",151,-136.042894650545,600,-600,600,-5.10051005100511,-5.10051005100511,600,"p1"
1,FALSE,21,"criticsm_trial",154,600,76.9199179507011,-600,600,-5.10051005100511,76.9199179507011,600,"p2"
2,FALSE,21,"criticsm_trial",157,600,600,-239.675009292826,600,-5.10051005100511,-239.675009292826,0,"p3"
4,FALSE,22,"criticsm_trial",123,233.953216899281,398.134338948401,169.658665400353,285.594832689764,-581.226269984035,-581.226269984035,341.936025125854,"p5"
0,FALSE,22,"criticsm_trial",131,341.936025125854,398.134338948401,169.658665400353,285.594832689764,600,600,-600,"p1"
1,FALSE,22,"criticsm_trial",138,-600,389.972738318249,169.658665400353,285.594832689764,600,389.972738318249,600,"p2"
2,FALSE,22,"criticsm_trial",143,-600,600,599.437615431949,285.594832689764,600,599.437615431949,0,"p3"
4,FALSE,23,"criticsm_trial",124,-38.2883846632263,118.656661548176,354.762801621447,-87.0443927537223,334.470761967629,334.470761967629,-537.00286266939,"p5"
0,FALSE,23,"criticsm_trial",135,-537.00286266939,118.656661548176,354.762801621447,-87.0443927537223,600,600,600,"p1"
1,FALSE,23,"criticsm_trial",140,600,220.296545475546,354.762801621447,-87.0443927537223,600,220.296545475546,5.10051005100509,"p2"
2,FALSE,23,"criticsm_trial",145,600,5.10051005100509,574.84649954115,-87.0443927537223,600,574.84649954115,600,"p3"
3,FALSE,23,"criticsm_trial",149,600,5.10051005100509,600,566.093045880766,600,566.093045880766,600,"p4"
4,FALSE,23,"criticsm_trial",152,600,5.10051005100509,600,600,581.449858520482,581.449858520482,387.614613283511,"p5"
0,FALSE,23,"criticsm_trial",156,387.614613283511,5.10051005100509,600,600,-600,-600,600,"p1"
1,FALSE,23,"criticsm_trial",159,600,-77.4123677083838,600,600,-600,-77.4123677083838,0,"p2"
