id;time;property1;property2;property3;property4;property5;failed;time_of_death;details;type;orgin_id;network_id;contents
81;2020-05-04 07:48:23.287073;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 458, ""propagate_failure"": false}";suggestion_trial;102;16;"{""vector"": [557.7418359645692, -209.61513189961727, -196.8486802226327, 600, 600], ""active_index"": 0, ""reverse_scale"": false}"
82;2020-05-04 07:48:24.452293;4;TRUE;"""1""";FALSE;8;FALSE;;"{""response_id"": 455, ""propagate_failure"": false}";headphone_trial;9;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SIO.wav"", ""label"": ""SIO"", ""correct_answer"": ""1""}"
83;2020-05-04 07:48:30.411957;4;TRUE;"""3""";FALSE;4;FALSE;;"{""response_id"": 459, ""propagate_failure"": false}";headphone_trial;5;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_IOS.wav"", ""label"": ""IOS"", ""correct_answer"": ""3""}"
84;2020-05-04 07:48:36.094271;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 467, ""propagate_failure"": false}";suggestion_trial;103;15;"{""vector"": [-1.6339266842497864, -90.74309737177867, -315.71005281529835, 600, 600], ""active_index"": 0, ""reverse_scale"": false}"
85;2020-05-04 07:48:36.633282;4;TRUE;"""2""";FALSE;2;FALSE;;"{""response_id"": 463, ""propagate_failure"": false}";headphone_trial;3;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_ISO.wav"", ""label"": ""ISO"", ""correct_answer"": ""2""}"
86;2020-05-04 07:48:43.191115;4;TRUE;"""1""";FALSE;6;FALSE;;"{""response_id"": 466, ""propagate_failure"": false}";headphone_trial;7;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SOI.wav"", ""label"": ""SOI"", ""correct_answer"": ""1""}"
87;2020-05-04 07:48:49.27032;4;TRUE;"""2""";FALSE;10;FALSE;;"{""response_id"": 470, ""propagate_failure"": false}";headphone_trial;11;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OSI.wav"", ""label"": ""OSI"", ""correct_answer"": ""2""}"
88;2020-05-04 07:48:51.332646;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 480, ""propagate_failure"": false}";suggestion_trial;104;14;"{""vector"": [259.86455915719034, 486.68968659385473, 600, -600, 600], ""active_index"": 0, ""reverse_scale"": false}"
89;2020-05-04 07:49:11.253413;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 483, ""propagate_failure"": false}";suggestion_trial;105;16;"{""vector"": [-600, 416.33409171012886, -196.8486802226327, 600, 600], ""active_index"": 1, ""reverse_scale"": false}"
90;2020-05-04 07:49:26.066704;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 485, ""propagate_failure"": false}";suggestion_trial;106;15;"{""vector"": [-600, -408.37287854103556, -315.71005281529835, 600, 600], ""active_index"": 1, ""reverse_scale"": false}"
91;2020-05-04 07:49:45.509845;3;TRUE;-510.051.005.100.511;FALSE;;FALSE;;"{""response_id"": 486, ""propagate_failure"": false}";suggestion_trial;108;16;"{""vector"": [-600, -600, 358.8372404734823, 600, 600], ""active_index"": 2, ""reverse_scale"": false}"
92;2020-05-04 07:50:05.097207;3;TRUE;151.815.181.518.152;FALSE;;FALSE;;"{""response_id"": 489, ""propagate_failure"": false}";suggestion_trial;109;15;"{""vector"": [-600, -600, 275.2125594469902, 600, 600], ""active_index"": 2, ""reverse_scale"": false}"
93;2020-05-04 07:50:09.571805;4;TRUE;317.611.761.176.118;FALSE;;FALSE;;"{""response_id"": 490, ""propagate_failure"": false}";criticsm_trial;112;17;"{""vector"": [389.43844738684413, 565.402256131812, 241.87917435238614, -244.63050863876526, -535.8605909046553], ""active_index"": 1, ""reverse_scale"": false}"
94;2020-05-04 07:50:20.36369;3;TRUE;-510.051.005.100.511;FALSE;;FALSE;;"{""response_id"": 491, ""propagate_failure"": false}";suggestion_trial;107;14;"{""vector"": [-600, 263.37699402621865, 600, -600, 600], ""active_index"": 1, ""reverse_scale"": false}"
95;2020-05-04 07:51:11.391645;3;TRUE;151.815.181.518.152;FALSE;;FALSE;;"{""response_id"": 495, ""propagate_failure"": false}";suggestion_trial;110;16;"{""vector"": [-600, -600, -5.10051005100511, 201.30167389360565, 600], ""active_index"": 3, ""reverse_scale"": false}"
96;2020-05-04 07:51:38.142192;4;TRUE;-428.622.862.286.229;FALSE;;FALSE;;"{""response_id"": 501, ""propagate_failure"": false}";criticsm_trial;117;18;"{""vector"": [-463.95182074366426, 367.8393047417844, -546.3778610150433, -79.32652404014857, 319.32215337469665], ""active_index"": 2, ""reverse_scale"": false}"
97;2020-05-04 07:51:38.403481;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 497, ""propagate_failure"": false}";suggestion_trial;113;15;"{""vector"": [-600, -600, 15.1815181518152, -521.6011623950168, 600], ""active_index"": 3, ""reverse_scale"": false}"
98;2020-05-04 07:51:54.798411;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 498, ""propagate_failure"": false}";suggestion_trial;115;14;"{""vector"": [-600, -5.10051005100511, 540.8736805021822, -600, 600], ""active_index"": 2, ""reverse_scale"": false}"
99;2020-05-04 07:52:14.395205;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 499, ""propagate_failure"": false}";suggestion_trial;123;15;"{""vector"": [-600, -600, 15.1815181518152, 600, 578.3554994315916], ""active_index"": 4, ""reverse_scale"": false}"
100;2020-05-04 07:52:25.668912;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 502, ""propagate_failure"": false}";suggestion_trial;124;14;"{""vector"": [-600, -5.10051005100511, -600, 596.2719688833047, 600], ""active_index"": 3, ""reverse_scale"": false}"
101;2020-05-04 07:52:25.865085;5;TRUE;"""2""";FALSE;6;TRUE;2020-05-04 07:53:32.75468;"{""response_id"": 504, ""propagate_failure"": false}";headphone_trial;7;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SOI.wav"", ""label"": ""SOI"", ""correct_answer"": ""1""}"
102;2020-05-04 07:52:34.724102;4;TRUE;-327.692.769.276.928;FALSE;;FALSE;;"{""response_id"": 513, ""propagate_failure"": false}";criticsm_trial;119;19;"{""vector"": [-496.2883732687658, -251.04526915503993, -585.3435154200333, -33.237551571251515, 154.8016110167573], ""active_index"": 0, ""reverse_scale"": false}"
103;2020-05-04 07:52:38.703332;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 503, ""propagate_failure"": false}";suggestion_trial;122;16;"{""vector"": [-600, -600, -5.10051005100511, 15.1815181518152, -565.8217528700393], ""active_index"": 4, ""reverse_scale"": false}"
104;2020-05-04 07:52:52.674477;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 506, ""propagate_failure"": false}";suggestion_trial;125;15;"{""vector"": [-52.15854531346292, -600, 15.1815181518152, 600, 600], ""active_index"": 0, ""reverse_scale"": false}"
105;2020-05-04 07:52:54.290818;5;TRUE;"""3""";FALSE;2;TRUE;2020-05-04 07:53:32.754623;"{""response_id"": 505, ""propagate_failure"": false}";headphone_trial;3;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_ISO.wav"", ""label"": ""ISO"", ""correct_answer"": ""2""}"
106;2020-05-04 07:53:01.227604;5;TRUE;"""1""";FALSE;10;TRUE;2020-05-04 07:53:32.754751;"{""response_id"": 507, ""propagate_failure"": false}";headphone_trial;11;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OSI.wav"", ""label"": ""OSI"", ""correct_answer"": ""2""}"
107;2020-05-04 07:53:03.611715;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 509, ""propagate_failure"": false}";suggestion_trial;127;14;"{""vector"": [-600, -5.10051005100511, -600, 600, -554.8328016839175], ""active_index"": 4, ""reverse_scale"": false}"
108;2020-05-04 07:53:09.499295;5;TRUE;"""1""";FALSE;4;TRUE;2020-05-04 07:53:32.754785;"{""response_id"": 508, ""propagate_failure"": false}";headphone_trial;5;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_IOS.wav"", ""label"": ""IOS"", ""correct_answer"": ""3""}"
109;2020-05-04 07:53:20.160539;5;TRUE;"""2""";FALSE;8;TRUE;2020-05-04 07:53:32.75482;"{""response_id"": 510, ""propagate_failure"": false}";headphone_trial;9;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SIO.wav"", ""label"": ""SIO"", ""correct_answer"": ""1""}"
110;2020-05-04 07:53:23.262748;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 512, ""propagate_failure"": false}";suggestion_trial;128;16;"{""vector"": [10.12164174636348, -600, -5.10051005100511, 15.1815181518152, 600], ""active_index"": 0, ""reverse_scale"": false}"
111;2020-05-04 07:53:26.88977;5;TRUE;"""3""";FALSE;12;TRUE;2020-05-04 07:53:32.754718;"{""response_id"": 511, ""propagate_failure"": false}";headphone_trial;13;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OIS.wav"", ""label"": ""OIS"", ""correct_answer"": ""3""}"
112;2020-05-04 07:53:37.719978;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 514, ""propagate_failure"": false}";suggestion_trial;130;14;"{""vector"": [-547.8019334858495, -5.10051005100511, -600, 600, 600], ""active_index"": 0, ""reverse_scale"": false}"
113;2020-05-04 07:53:40.439722;4;TRUE;105.910.591.059.106;FALSE;;FALSE;;"{""response_id"": 517, ""propagate_failure"": false}";criticsm_trial;121;20;"{""vector"": [46.87869389205787, 220.09166757341347, -151.50955550783283, -460.10860577743074, 180.26982809382366], ""active_index"": 3, ""reverse_scale"": false}"
114;2020-05-04 07:53:50.607252;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 515, ""propagate_failure"": false}";suggestion_trial;131;16;"{""vector"": [-600, 290.52733590769276, -5.10051005100511, 15.1815181518152, 600], ""active_index"": 1, ""reverse_scale"": false}"
115;2020-05-04 07:54:02.48817;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 516, ""propagate_failure"": false}";suggestion_trial;129;15;"{""vector"": [-600, 414.7134823834149, 15.1815181518152, 600, 600], ""active_index"": 1, ""reverse_scale"": false}"
116;2020-05-04 07:54:13.960159;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 518, ""propagate_failure"": false}";suggestion_trial;133;14;"{""vector"": [-600, 53.901841535703625, -600, 600, 600], ""active_index"": 1, ""reverse_scale"": false}"
117;2020-05-04 07:54:24.238253;4;TRUE;378.097.809.780.978;FALSE;;FALSE;;"{""response_id"": 521, ""propagate_failure"": false}";criticsm_trial;126;18;"{""vector"": [-463.95182074366426, 367.8393047417844, -428.622862286229, 536.238401716512, 319.32215337469665], ""active_index"": 3, ""reverse_scale"": false}"
118;2020-05-04 07:54:28.301746;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 519, ""propagate_failure"": false}";suggestion_trial;134;16;"{""vector"": [-600, -600, -278.4524192141716, 15.1815181518152, 600], ""active_index"": 2, ""reverse_scale"": false}"
119;2020-05-04 07:54:38.866483;3;TRUE;151.815.181.518.152;FALSE;;FALSE;;"{""response_id"": 520, ""propagate_failure"": false}";suggestion_trial;135;15;"{""vector"": [-600, -600, -90.62451975056916, 600, 600], ""active_index"": 2, ""reverse_scale"": false}"
